Column1,Column10,PL
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M,The decrepit [c:bR]woodcarver[c:] appeared before you.,Zbadanie [C: Br] Woodarver [C:] pojawił się przed tobą.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F,,#VALUE!
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M,She moved with a certain vigor in spite of her considerable age.,Mimo swojego znacznego wieku przeprowadziła się z pewną wigcą.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F,,#VALUE!
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M,You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.,"Natknąłeś się na starego [C: Br] Woodcarver [C:], która naprawiła na ciebie jej intensywne spojrzenie."
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F,,#VALUE!
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M,"After an overlong moment of silence, she moved to offer her carvings.","Po nadchodzącym momencie ciszy przeprowadziła się, by zaoferować swoje rzeźby."
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M,[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!,"[T: 9] Huh? [T: 3] [W: 0,2] Hej [W: 0,2] Zatrzymaj!"
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M,[t:0.01]Wow...[w:0.1] Seriously?,"[T: 0,01] Wow ... [W: 0.1] Poważnie?"
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M,[t:0.01]Oh[w:0.2] come[w:0.2] on!,"[T: 0,01] OH [W: 0,2] Przyjdź [W: 0,2] On!"
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M,Again...,Ponownie...
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F,,#VALUE!
TALKING_CARDS_STOATINTRO_856_M,You didn't sacrifice me?,Nie poświęciłeś mnie?
TALKING_CARDS_STOATINTRO_856_F,,#VALUE!
TALKING_CARDS_STOATINTRO_511_M,How kind.,Jak miło.
TALKING_CARDS_STOATINTRO_511_F,,#VALUE!
TALKING_CARDS_STOATINTRO_153_M,You sacrificed me.[w:0.2],"Poświęciłeś mnie. [W: 0,2]"
TALKING_CARDS_STOATINTRO_153_F,,#VALUE!
TALKING_CARDS_STOATINTRO_269_M,[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5],"[T: 2] [Shake: 1] Podczas gdy [w: 0,2] i [w: 0,2] był [w: 0,2] [shake: 1] spanie. [w: 0,5]"
TALKING_CARDS_STOATINTRO_269_F,,#VALUE!
TALKING_CARDS_STOATINTRO_140_M,[anim:sly]It was the right play.[w:0.2],[Anim: Sly] To była właściwa gra. [W: 0.2]
TALKING_CARDS_STOATINTRO_140_F,,#VALUE!
TALKING_CARDS_STOATINTRO_279_M,I get it.[w:0.2],"Rozumiem. [W: 0,2]"
TALKING_CARDS_STOATINTRO_279_F,,#VALUE!
TALKING_CARDS_STOATINTRO_193_M,[anim:]Maybe...,[Anim:] Może ...
TALKING_CARDS_STOATINTRO_193_F,,#VALUE!
TALKING_CARDS_STOATINTRO_094_M,...you'll help me?[leshy:Take your turn.][w:2],... pomożesz mi? [Leshy: Zabierz swoją kolej.] [W: 2]
TALKING_CARDS_STOATINTRO_094_F,,#VALUE!
TALKING_CARDS_STOATINTRO_448_M,Play along for now.,Na razie baw się.
TALKING_CARDS_STOATINTRO_448_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M,What an honor.,Co za honor.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M,Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:],Tak? [W: 0.2] [anim: sly] w porządku. [W: 0.2] [anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M,Fine choice.,Dobry wybór.
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M,Another sigil...[w:0.2],"Kolejny sigil ... [w: 0,2]"
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M,[anim:sly]Hooray...[anim:],[Anim: Sly] Brawo ... [Anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M,Hey.,Hej.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M,Pick me.,Wybierz mnie.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M,I'll go.,Pójdę.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M,It's me.,To ja.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M,Your choice.,Twój wybór.
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M,You are lacking the Bones for that creature.,Brakuje ci kości dla tego stworzenia.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M,You'll need more Bones to play that [c:bR][v:0][c:].,"Potrzebujesz więcej kości, aby zagrać w to [C: Br] [V: 0] [C:]."
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M,You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...,Nie masz jeszcze [C: Br] [V: 1] [C:] Kości. Stracić niektóre stworzenia i możesz ...
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M,That creature demands more Bones.,To stworzenie wymaga więcej kości.
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_797_M,From the death of your creature you've gained a [c:bR]bone.[c:],Od śmierci twojego stworzenia zyskałeś kość [C: Br]. [C:]
TUTORIAL_TUTORIALBONESTOKEN_797_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_637_M,You will not lose this until it is spent... or the battle ends.,"Nie stracisz tego, dopóki nie zostanie wydany ... lub bitwa się nie kończy."
TUTORIAL_TUTORIALBONESTOKEN_637_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M,You've gained a [c:bR]bone.[c:],Zyskałeś kość [C: Br]. [C:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M,It will stay there until you spend it... or the battle ends.,"Pozostanie tam, dopóki go nie wydasz ... lub bitwa się nie kończy."
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M,That's a [c:bR]bone.[c:],To jest kość [C: Br]. [C:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F,,#VALUE!
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M,Yes... That's a [c:bR]bone.[c:],Tak ... to jest kość [C: Br]. [C:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M,[t:3]While I was asleep?,[T: 3] Kiedy spałem?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F,,#VALUE!
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M,[t:3]Again?,[T: 3] Znowu?
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M,Not now. Draw a card first.,Nie teraz. Najpierw narysuj kartę.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M,Slow down. You will first need to draw a card.,Kierowco zwolnij. Najpierw będziesz musiał narysować kartę.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M,One thing at a time. Draw first.,Jedna rzecz na raz. Narysuj najpierw.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M,You may use that... after you have drawn your card for the turn.,Możesz tego użyć ... po narysowaniu karty na turę.
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F,,#VALUE!
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M,You cannot draw a card on your first turn.,Nie możesz narysować karty w pierwszej turze.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F,,#VALUE!
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_M,No drawing on the first turn. Don't you have enough?,Brak rysowania na pierwszej turze. Nie masz wystarczająco dużo?
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#1_769_F,,#VALUE!
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_M,"You may draw next turn. For now, make do.",Możesz narysować następny obrót. Na razie zrób to.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#2_759_F,,#VALUE!
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_M,I will not allow you to draw a card on the first turn.,Nie pozwolę ci narysować karty w pierwszej turze.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#3_487_F,,#VALUE!
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_M,You don't draw on the first turn. You will have to wait for that.,Nie rysujesz pierwszej tury. Będziesz musiał na to poczekać.
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_REPEAT_#4_113_F,,#VALUE!
TUTORIAL_TUTORIALMORETHANONECARD_949_M,You know you can play more than one card per turn... right?,"Wiesz, że możesz zagrać więcej niż jedną kartę na turę ... prawda?"
TUTORIAL_TUTORIALMORETHANONECARD_949_F,,#VALUE!
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_M,Was I not clear?,Czy nie byłem jasny?
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_914_F,,#VALUE!
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_M,You can play a Squirrel and also sacrifice it in the same turn.,"Możesz zagrać wiewiórkę, a także poświęcić ją w tej samej turze."
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#1_209_F,,#VALUE!
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_M,You can play as many cards per turn as your sacrifices will allow...,"Możesz grać tyle kart na turę, ile pozwolą na twoje ofiary ..."
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#2_734_F,,#VALUE!
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_M,Just a Squirrel? Interesting choice...,Tylko wiewiórka? Ciekawy wybór ...
TUTORIAL_TUTORIALMORETHANONECARD_REPEAT_#3_314_F,,#VALUE!
_OPPONENTSKIPTURN_479_M,I'm obligated to pass.,Jestem zobowiązany do zdania.
_OPPONENTSKIPTURN_479_F,I'm obligated to pass.,Jestem zobowiązany do zdania.
_OPPONENTSKIPTURN_REPEAT_#1_558_M,Pass.,Przechodzić.
_OPPONENTSKIPTURN_REPEAT_#1_558_F,,#VALUE!
_OPPONENTSKIPTURN_REPEAT_#2_465_M,I'll pass.,Minie.
_OPPONENTSKIPTURN_REPEAT_#2_465_F,,#VALUE!
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_M,Don't get ahead of yourself. You need to draw a card first.,Nie wyprzedzaj siebie. Najpierw musisz narysować kartę.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_465_F,,#VALUE!
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_M,I won't allow you to play a card before you draw a new one.,"Nie pozwolę ci zagrać karty, zanim narysujesz nową."
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#1_797_F,,#VALUE!
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_M,Draw a card.,Wyciągnąć kartę.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#2_235_F,,#VALUE!
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_M,Stop. Draw a card.,Zatrzymywać się. Wyciągnąć kartę.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#3_655_F,,#VALUE!
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_M,Your turn to draw. You can play cards after.,Twoja kolej na rysowanie. Możesz grać po kartach.
GAMEPLAY_HINTS_HINT_PLAYDURINGDRAWPHASE_REPEAT_#4_903_F,,#VALUE!
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_M,Need I remind you? Your items may help...,Czy muszę ci przypominać? Twoje przedmioty mogą pomóc ...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_266_F,,#VALUE!
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_M,"Have you forgotten the items I gave you? Tisk, tisk.","Czy zapomniałeś o przedmiotach, które ci dałem? Tisk, Tisk."
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#1_518_F,,#VALUE!
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_M,An item could help...,Przedmiot może pomóc ...
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#2_479_F,,#VALUE!
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_M,"You're in a tough spot, no doubt.",Bez wątpienia jesteś w trudnym miejscu.
TUTORIAL_TUTORIALCONSUMABLESREMINDER_REPEAT_#3_373_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_M,You can't use that right now.,Nie możesz tego teraz użyć.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_478_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_M,That one's only for card dueling.,To jest tylko do pojedynku kart.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#1_550_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_M,I'll let you use that... but not now.,Pozwolę ci tego użyć ... ale nie teraz.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#2_884_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_M,Enough. You can't use that presently.,Wystarczająco. Nie możesz tego obecnie używać.
GAMEPLAY_HINTS_HINT_CONSUMABLEOUTSIDEOFBATTLE_REPEAT_#3_994_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_M,You are lacking sacrifices for that [c:bR][v:0][c:]. But you do have a [c:bR]Squirrel[c:].,Brakuje ci poświęceń dla tego [C: Br] [V: 0] [C:]. Ale masz wiewiórkę [C: Br] [C:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_880_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_M,You can't play that presently. But your [c:bR]Squirrel[c:] is free.,Nie możesz w to grać. Ale twoja wiewiórka [C: Br] [C:] jest bezpłatna.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#1_259_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_M,No... But you can play your [c:bR]Squirrel[c:].,Nie ... ale możesz zagrać w swoją wiewiórkę [C: Br] [C:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOODBUTSQUIRREL_REPEAT_#2_827_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_M,"Believe it or not, you're not the first to lose an eye here...","Wierzcie lub nie, nie jesteś pierwszym, który stracił tutaj ..."
SPECIAL_NODES_EYEBALLCHOICEINTRO_267_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_M,This isn't much fun if you're half blind.,"To nie jest świetna zabawa, jeśli jesteś na wpół ślepy."
SPECIAL_NODES_EYEBALLCHOICEINTRO_204_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_M,"Perhaps, you'd like to replace it?",Być może chciałbyś to wymienić?
SPECIAL_NODES_EYEBALLCHOICEINTRO_660_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_M,Would you care for a new eye?,Czy dbałbyś o nowe oko?
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#1_026_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_M,I imagine you'd like to replace that eye you lost.,"Wyobrażam sobie, że chciałbyś wymienić to oko, które straciłeś."
SPECIAL_NODES_EYEBALLCHOICEINTRO_REPEAT_#2_576_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_M,Better?,Lepsza?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_252_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_M,"Regardless, the choice is final.",Niezależnie od tego wybór jest ostateczny.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_341_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_M,Happy with that one?,Zadowolony z tego?
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#1_922_F,,#VALUE!
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_M,The choice is final.,Wybór jest ostateczny.
SPECIAL_NODES_EYEBALLCHOICEOUTRO_REPEAT_#2_487_F,,#VALUE!
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_M,Did I neglect to mention overkill damage?,Czy zaniedbałem wspomnienie o obrażeniach na przesadach?
TUTORIAL_TUTORIALOVERKILLDAMAGE_491_F,,#VALUE!
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_M,Excess damage is not wasted.,Nadmiar szkód nie jest zmarnowany.
TUTORIAL_TUTORIALOVERKILLDAMAGE_700_F,,#VALUE!
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_M,It carries over to the card [c:bR]behind[c:] the mangled corpse of the victim.,Przenosi się na kartę [C: Br] za [C:] Manglled Colpse of the Office.
TUTORIAL_TUTORIALOVERKILLDAMAGE_360_F,,#VALUE!
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_M,Lucky for you.,Na szczęście dla ciebie.
TUTORIAL_TUTORIALOVERKILLDAMAGE_306_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_587_M,An ancient woman emerged from behind an oak tree.,Starożytna kobieta wyłoniła się zza dębu.
TUTORIAL_TUTORIALWOODCARVERINTRO_587_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_136_M,"She carefully laid out intricate wood carvings, then gestured at them brusquely.","Ostrożnie ułożyła skomplikowane rzeźby z drewna, a następnie gestem na nich niechce."
TUTORIAL_TUTORIALWOODCARVERINTRO_136_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_M,The old [c:bR]woodcarver[c:] again appeared before you.,Stary [C: Br] Woodarver [C:] Znowu pojawił się przed tobą.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#1_741_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_M,It was another encounter with the [c:bR]woodcarver[c:].,To było kolejne spotkanie z [C: Br] Woodarver [C:].
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_042_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_M,Taking a head and a body of a totem may bring good fortune.,Zabranie głowy i totemu może przynieść szczęście.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#2_247_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_M,The [c:bR]woodcarver[c:] again offered her carvings.,[C: Br] Woodarver [C:] Ponownie zaoferowała jej rzeźby.
TUTORIAL_TUTORIALWOODCARVERINTRO_REPEAT_#3_797_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_M,You accepted the [c:bR]woodcarver's[c:] offering.,Przyjąłeś ofertę [C: Br] Woodkarver [C:].
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_493_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_M,It is useless without its second half...,Jest bezużyteczny bez drugiej połowy ...
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_267_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_M,But you intuited that this would not be the last encounter with [c:bR]her[c:].,"Ale intuitujesz, że nie będzie to ostatnie spotkanie z [C: Br] Her [C:]."
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_436_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_M,Without a top and bottom the totem is incomplete.,Bez góry i na dole totem jest niekompletny.
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#1_993_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_M,"Lacking a second matching piece, you bid the old [c:bR]woodcarver[c:] adieu.","Brakuje drugiego pasującego utworu, licytujesz stary [C: Br] Woodarver [C:] Adieu."
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#2_532_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_M,"You left with a piece, but without a complete totem.","Wyjechałeś z kawałkiem, ale bez całkowitego totemu."
TUTORIAL_TUTORIALWOODCARVERINCOMPLETE_REPEAT_#3_959_F,,#VALUE!
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_M,The old woman bared her teeth in satisfaction. Your first [c:bR]totem[c:] was complete.,Stara kobieta obnażyła zęby z satysfakcją. Twój pierwszy [C: Br] Totem [C:] był zakończony.
TUTORIAL_TUTORIALWOODCARVERCOMPLETE_127_F,,#VALUE!
